document_id,authority,original_filename,original_stem,original_extension,original_relative_path
KSA_066,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_v_o_f_aulon.md,KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_v_o_f_aulon,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_besluit_v_o_f_aulon.md
KSA_067,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_betent_15403_sanctiebesluit.md,KSA__https___kansspelautoriteit.nl_sites_default_files_betent_15403_sanctiebesluit,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_betent_15403_sanctiebesluit.md
KSA_068,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_bob_spdne_01-335-368.md,KSA__https___kansspelautoriteit.nl_sites_default_files_bob_spdne_01-335-368,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_bob_spdne_01-335-368.md
KSA_069,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_buurtwachtt_20130_01-349-479_lod_20250911.md,KSA__https___kansspelautoriteit.nl_sites_default_files_buurtwachtt_20130_01-349-479_lod_20250911,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_buurtwachtt_20130_01-349-479_lod_20250911.md
KSA_070,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_casinoscout_nl_lod.md,KSA__https___kansspelautoriteit.nl_sites_default_files_casinoscout_nl_lod,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_casinoscout_nl_lod.md
KSA_071,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_chestoption_sociedad_de_responsibilidad_limitada_17391_invorderingsbesluit_ov_20250905.md,KSA__https___kansspelautoriteit.nl_sites_default_files_chestoption_sociedad_de_responsibilidad_limitada_17391_invorderingsbesluit_ov_20250905,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_chestoption_sociedad_de_responsibilidad_limitada_17391_invorderingsbesluit_ov_20250905.md
KSA_072,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_eod_code_srl_18933_lod_20250729.md,KSA__https___kansspelautoriteit.nl_sites_default_files_eod_code_srl_18933_lod_20250729,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_eod_code_srl_18933_lod_20250729.md
KSA_073,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_gammix_limited_15765_002_01-352-604_beslissing_op_bezwaar_20250917.md,KSA__https___kansspelautoriteit.nl_sites_default_files_gammix_limited_15765_002_01-352-604_beslissing_op_bezwaar_20250917,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_gammix_limited_15765_002_01-352-604_beslissing_op_bezwaar_20250917.md
KSA_074,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_gamusoft_lp_18937_lod_20250402.md,KSA__https___kansspelautoriteit.nl_sites_default_files_gamusoft_lp_18937_lod_20250402,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_gamusoft_lp_18937_lod_20250402.md
KSA_075,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_goldwin_limited_16442-001_01-352-600_beslissing_op_bezwaar_20250917.md,KSA__https___kansspelautoriteit.nl_sites_default_files_goldwin_limited_16442-001_01-352-600_beslissing_op_bezwaar_20250917,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_goldwin_limited_16442-001_01-352-600_beslissing_op_bezwaar_20250917.md
